"id","account_status","name","owner","age","agency_client_declaration","amount_spent","attribution_spec","balance","business","business_city","business_country_code","business_name","business_state","business_street","business_street2","business_zip","can_create_brand_lift_study","capabilities","created_time","currency","disable_reason","end_advertiser","is_direct_deals_enabled","is_in_3ds_authorization_enabled_market","is_in_middle_of_local_entity_migration","is_personal","is_prepay_account","is_tax_id_required","min_daily_budget","partner","offsite_pixels_tos_accepted","spend_cap","tax_id_status","tax_id_type","timezone_id","timezone_name","timezone_offset_hours_utc","user_role","is_attribution_spec_system_default","min_campaign_group_spend_cap","end_advertiser_name","io_number","line_numbers","rate_limit_reset_time","has_migrated_permissions","media_agency","tax_id","is_notifications_enabled","user_tos_accepted","funding_source_details","rf_spec","tos_accepted","industry_id","industry_name_large","industry_name_medium","industry_name_small","db_inserted_time","db_updated_time","rec_status"
"215666735897322","1","Daito Trust Construction Co.,Ltd._DD","550011445100868","524.329","None","5393235","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","0","{'id': '550011445100868', 'name': 'サイバー・コミュニケーションズ'}",,"JP",,NULL,,,NULL,"1",NULL,"2018-06-07 15:13:50","JPY","0","550011445100868","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","サイバー・コミュニケーションズ",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:58:40","2019-12-18 15:00:07","3"
"219683468916342","1","UCC UESHIMA COFFEE CO.,LTD._DD","449750032146539","49.0851","None","1144739","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","1162061","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"1",NULL,"2019-01-09 12:23:38","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:49:19","2019-12-18 15:00:07","3"
"221925758716297","1","Kirin Beverage Company,Limited_DD","449750032146539","68.329","None","6044445","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","649249","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"1",NULL,"2019-01-10 18:51:06","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:51:14","2019-12-18 15:00:07","3"
"222702001648319","1","Nestle Japan Ltd.(Nescafe Barista / NBA）_DENTSU DIGITAL Inc.","449750032146539","363.288","None","29401845","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","0","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"0",NULL,"2018-05-25 18:33:08","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:59:41","2019-12-18 15:00:07","3"
"223483958521933","1","TOHO-TOWA Company, Limited(Fifty Shades Freed)_DD","550011445100868","425.306","None","1299998","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","0","{'id': '550011445100868', 'name': 'サイバー・コミュニケーションズ'}",,"JP",,NULL,,,NULL,"1",NULL,"2018-08-24 13:11:28","JPY","0","550011445100868","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","サイバー・コミュニケーションズ",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:58:58","2019-12-18 15:00:07","3"
"224741668213941","1","DAZN_DD","449750032146539","455.924","None","216738624","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","9240602","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"1",NULL,"2018-08-14 10:39:38","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:59:41","2019-12-18 15:00:07","3"
"229956157932753","1","NEC Corporation_DD","449750032146539","61.2998","None","1720977","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","489509","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"1",NULL,"2019-01-16 17:12:36","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:49:30","2019-12-18 15:00:07","3"
"230860517673567","1","Nestle Japan Ltd.(KitKat)_DENTSU DIGITAL Inc.","449750032146539","378.341","None","32630187","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","5104487","{'id': '449750032146539', 'name': '株式会社電通デジタル20180523'}",,"JP",,NULL,,,NULL,"0",NULL,"2018-05-30 15:31:21","JPY","0","449750032146539","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","株式会社電通デジタル20180523",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:59:30","2019-12-18 15:00:07","3"
"231912810780994","1","Honda Access Corporation_DD","550011445100868","476.274","None","1674470","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","0","{'id': '550011445100868', 'name': 'サイバー・コミュニケーションズ'}",,"JP",,NULL,,,NULL,"1",NULL,"2018-07-26 10:13:52","JPY","0","550011445100868","0","0","0","0","0","0","101.00",NULL,"1","0","0",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000","サイバー・コミュニケーションズ",NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:58:30","2019-12-18 15:00:07","3"
"233114456899040","1","Nestle Japan Ltd.(モンプチ PMP）_dentsu","550011445100868","1965.89","None","28408105","[{'event_type': 'CLICK_THROUGH', 'window_days': 28}, {'event_type': 'VIEW_THROUGH', 'window_days': 1}]","0","{'id': '550011445100868', 'name': 'サイバー・コミュニケーションズ'}","中央区築地","JP","サイバー・コミュニケーションズ","東京都","1-13-1 築地松竹ビル",,NULL,"0",NULL,"2014-06-19 15:54:07","JPY","0",NULL,"0","0","0","0","0","0","101.00",NULL,"1","0","3",NULL,"77","Asia/Tokyo","9","498940650138739","1","10000",NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,"{'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}","None",NULL,"{'web_custom_audience_tos': 1, 'custom_audience_tos': 1, 'value_based_custom_audience_tos': 1}",NULL,NULL,NULL,NULL,"2019-11-19 09:52:42","2019-12-18 15:00:07","3"
